State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
Alabama,2016,729547,,1318255,9,75570,,588708,-588708,2047802,2123372,9,3609447
Alaska,2016,116454,,163387,3,38767,,46933,-46933,279841,318608,3,522679
Arizona,2016,1161167,,1252401,11,159597,,91234,-91234,2413568,2573165,11,4740310
Arkansas,2016,380494,,684872,6,65269,,304378,-304378,1065366,1130635,6,2140097
California,2016,8753788,55,4483810,,943997,,4269978,4269978,13237598,14181595,55,25104844
Colorado,2016,1338870,9,1202484,,238893,,136386,136386,2541354,2780247,9,3974405
Connecticut,2016,897572,7,673215,,74133,,224357,224357,1570787,1644920,7,2582761
Delaware,2016,235603,3,185127,,23084,,50476,50476,420730,443814,3,691720
District of Columbia,2016,282830,3,12723,,15715,,270107,270107,295553,311268,3,515248
Florida,2016,4504975,,4617886,29,297178,,112911,-112911,9122861,9420039,29,14601066
Georgia,2016,1877963,,2089104,16,147665,,211141,-211141,3967067,4114732,16,6959963
Hawaii,2016,266891,3,128847,,33199,1,138044,138044,395738,428937,4,1012860
Idaho,2016,189765,,409055,4,91435,,219290,-219290,598820,690255,4,1166706
Illinois,2016,3090729,20,2146015,,299680,,944714,944714,5236744,5536424,20,8985443
Indiana,2016,1033126,,1557286,11,144546,,524160,-524160,2590412,2734958,11,4849937
Iowa,2016,653669,,800983,6,111379,,147314,-147314,1454652,1566031,6,2288536
Kansas,2016,427005,,671018,6,86379,,244013,-244013,1098023,1184402,6,2054025
Kentucky,2016,628854,,1202971,8,92324,,574177,-574117,1831825,1924149,8,3282420
Louisiana,2016,780154,,1178638,8,70240,,398484,-398484,1958792,2029032,8,3384435
Maine,2016,357735,3,335593,1,54599,,22142,22142,693328,747927,4,1058372
Maryland,2016,1677928,10,943169,,160349,,734759,734759,2621097,2781446,10,4189616
Massachusetts,2016,1995196,11,1090893,,238957,,904303,904303,3086089,3325046,11,4948028
Michigan,2016,2268839,,2279543,16,250902,,10704,-10704,4548382,4799284,16,7420628
Minnesota,2016,1367716,10,1322951,,254146,,44765,44765,2690667,2944813,10,3973204
Mississippi,2016,485131,,700714,6,23512,,215583,-215583,1185845,1209357,6,2191241
Missouri,2016,1071068,,1594511,10,143026,,523443,-523443,2665579,2808605,10,4517925
Montana,2016,177709,,279240,3,40198,,101531,-101531,456949,497147,3,804250
Nebraska,2016,284494,,495961,5,63772,,211467,-211467,780455,844227,5,1343821
Nevada,2016,539260,6,512058,,74067,,27202,27202,1051318,1125385,6,1961587
New Hampshire,2016,348526,4,345790,,49980,,2736,2736,694316,744296,4,1042795
New Jersey,2016,2148278,14,1601933,,123835,,546345,546345,3750211,3874046,14,6013656
New Mexico,2016,385234,5,319667,,93418,,65567,65567,704901,798319,5,1464515
New York,2016,4556124,29,2819534,,345795,,1736590,1736590,7375658,7721453,29,13604645
North Carolina,2016,2189316,,2362631,15,189617,,173315,-173315,4551947,4741564,15,7352501
North Dakota,2016,93758,,216794,3,33808,,123036,-123036,310552,344360,3,566783
Ohio,2016,2394164,,2841005,18,261318,,446841,-446841,5235169,5496487,18,8736808
Oklahoma,2016,420375,,949136,7,83481,,528761,-528761,1369511,1452992,7,2778219
Oregon,2016,1002106,7,782403,,216827,,219703,219703,1784509,2001336,7,3024174
