State,Year, Democrat Votes ,Democrat EC, Republican Votes ,Republican EC, Third Party Votes ,Third Party EC, Vote Margin (ABS) , Vote Margin ,Vote Margin % (ABS),Vote Margin %, Total Votes Minus Third Party , Total Votes ,Total EC, Registered Voters , Voting Aged Population , State Population , Electoral Power Group , State Population Over EC ,Turn Out,Rural Population,Small Town Population,Suburb Population,Urban Population,White,Black,Hispanic,Asian,Two or More Races/Other,No High School,High School,Bachelors Degree,Advanced Degree,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Below Poverty (< 100%),Above Poverty (100 - 199%),Above Poverty (200-399%),Abover Poverty (400%+),Male,Female
Texas,2016,"3,877,868",,"4,685,047",36,"406,311",2,"807,179","-807,179",0.09,-0.09,"8,562,915","8,969,226",38,"17,448,910","20,671,564","28,995,881",1,"763,049.50",0.51,0.21,0.17,0.34,0.28,0.43,0.12,0.39,0.05,0.01,0.172,0.541,0.188,0.099,0.25,0.09,0.11,0.26,0.13,0.16,0.17,0.2,0.31,0.32,0.48,0.52
Florida,2016,"4,504,975",,"4,617,886",29,"297,178",,"112,911","-112,911",0.01,-0.01,"9,122,861","9,420,039",29,"14,601,066","16,565,588","21,477,737",1,"740,611.62",0.65,0.12,0.27,0.35,0.26,0.55,0.15,0.25,0.03,0.02,0.124,0.591,0.182,0.103,0.27,0.11,0.14,0.25,0.13,0.1,0.11,0.15,0.28,0.46,0.51,0.49
California,2016,"8,753,788",55,"4,483,810",,"943,997",,"4,269,978","4,269,978",0.32,0.32,"13,237,598","14,181,595",55,"25,104,844","30,201,571","39,512,223",1,"718,404.05",0.56,0.07,0.13,0.26,0.54,0.38,0.06,0.39,0.14,0.03,0.175,0.499,0.204,0.122,0.25,0.09,0.12,0.25,0.12,0.17,0.17,0.2,0.31,0.32,0.49,0.51
North Carolina,2016,"2,189,316",,"2,362,631",15,"189,617",,"173,315","-173,315",0.04,-0.04,"4,551,947","4,741,564",15,"7,352,501","7,880,013","10,488,084",1,"699,205.60",0.64,0.37,0.36,0.25,0.02,0.64,0.21,0.09,0.03,0.03,0.131,0.57,0.193,0.106,0.25,0.1,0.11,0.25,0.13,0.16,0.17,0.23,0.32,0.28,0.49,0.51
New York,2016,"4,556,124",29,"2,819,534",,"345,795",,"1,736,590","1,736,590",0.24,0.24,"7,375,658","7,721,453",29,"13,604,645","15,557,982","19,453,561",1,"670,812.45",0.57,0.14,0.14,0.15,0.57,0.56,0.15,0.19,0.08,0.02,0.139,0.508,0.199,0.154,0.24,0.1,0.13,0.27,0.12,0.14,0.14,0.18,0.27,0.41,0.49,0.51
Georgia,2016,"1,877,963",,"2,089,104",16,"147,665",,"211,141","-211,141",0.05,-0.05,"3,967,067","4,114,732",16,"6,959,963","7,828,207","10,617,423",2,"663,588.94",0.59,0.31,0.29,0.32,0.08,0.53,0.31,0.1,0.04,0.02,0.137,0.564,0.185,0.114,0.24,0.09,0.13,0.27,0.13,0.14,0.11,0.16,0.3,0.43,0.5,0.5
Arizona,2016,"1,161,167",,"1,252,401",11,"159,597",,"91,234","-91,234",0.04,-0.04,"2,413,568","2,573,165",11,"4,740,310","5,331,034","7,278,717",2,"661,701.55",0.54,0.17,0.19,0.29,0.35,0.56,0.04,0.31,0.03,0.06,0.135,0.581,0.177,0.107,0.23,0.09,0.11,0.27,0.14,0.16,0.09,0.12,0.25,0.54,0.49,0.51
Virginia,2016,"1,981,473",13,"1,769,443",,"233,715",,"212,030","212,030",0.06,0.06,"3,750,916","3,984,631",13,"6,027,152","6,551,390","8,535,519",2,"656,578.38",0.66,0.27,0.22,0.34,0.17,0.62,0.19,0.1,0.06,0.03,0.11,0.514,0.215,0.161,0.23,0.08,0.12,0.25,0.14,0.18,0.12,0.14,0.31,0.43,0.48,0.52
Ohio,2016,"2,394,164",,"2,841,005",18,"261,318",,"446,841","-446,841",0.09,-0.09,"5,235,169","5,496,487",18,"8,736,808","9,007,953","11,689,100",2,"649,394.44",0.63,0.26,0.29,0.33,0.12,0.79,0.12,0.04,0.02,0.03,0.102,0.626,0.17,0.102,0.19,0.1,0.21,0.27,0.11,0.12,0.19,0.11,0.2,0.5,0.47,0.53
Pennsylvania,2016,"2,926,441",,"2,970,733",20,"268,304",,"44,292","-44,292",0.01,-0.01,"5,897,174","6,165,478",20,"9,691,160","10,108,486","12,801,989",2,"640,099.45",0.64,0.23,0.31,0.25,0.21,0.77,0.1,0.08,0.03,0.02,0.101,0.598,0.183,0.118,0.21,0.09,0.11,0.26,0.13,0.2,0.15,0.21,0.32,0.32,0.49,0.51
